priority,candidateId,brand,productName,category,targetFields,sourceUrls,allowedSourceHints,sourceAdapter,domain,robotsStatus,termsStatus,detailFetchDecision,extractedFields,phaseCStatus,blockedReason,needsManualReview
22,naver-56318640108,롬앤,[NEW] 롬앤 쥬시 알 치크 단품/기획,cheek,colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000219047,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
23,naver-58017348260,더샘,더샘 새미스 크레마 벨벳 틴트 10colors,lip,shadeName | colorFamily | undertone | finish | texture | intensity,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1098280123&vodFlag=N&prdseqnum=1098280123&utm_source=price&utm_medium=affiliate&utm_campaign=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,with.gsshop.com,fetched,not_configured,manual_review_required_before_detail_fetch,finish | texture,blocked,robots_disallowed,True
24,naver-56424883397,웨이크메이크,[미니틴트 증정]웨이크메이크 워터 블러링 레이어 틴트 14COLOR(단품/기획),lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000223250,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,finish | texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
25,naver-56989883678,클리오,클리오 BEST 킬커버 파운웨어 쿠션 본품2+리필3+퍼프2매,base,shadeName | undertone | finish | coverage | skinTypeTags,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1093825596&vodFlag=N&prdseqnum=1093825596&utm_source=price&utm_medium=affiliate&utm_campaign=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,with.gsshop.com,fetched,not_configured,manual_review_required_before_detail_fetch,coverage | texture,blocked,robots_disallowed,True
26,naver-54509116619,클리오,클리오 소프트 블렌딩 섀도우 스틱,shadow,palette | colorFamily | finish | texture,https://display.cjonstyle.com/p/item/2056344657?infl_cd=I0696&utm_medium=pcs&utm_source=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,display.cjonstyle.com,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
27,naver-54279765774,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 쿠션 블러쉬 (글로스미니 로즈도즈),cheek,colorFamily | finish | texture,https://m.a-bly.com/goods/45014633?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=45014633,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetched,not_configured,manual_review_required_before_detail_fetch,colorFamily | finish | texture,manual_review_required,terms_not_configured,True
28,naver-59404539686,페리페라,페리페라 블러리 톡 치크 5 Colors (+미니치크 증정 기획),cheek,colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000249488,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,finish,manual_review_required,robots_fetch_failed_requires_manual_review,True
29,naver-54024915841,VDL,[VDL] 립스테인 에센셜 글로우 틴트,lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://m.a-bly.com/goods/44228653?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=44228653,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetched,not_configured,manual_review_required_before_detail_fetch,finish | texture,manual_review_required,terms_not_configured,True
30,naver-59075048820,데이지크,[미니 틴트 증정] 데이지크 쥬시 듀이 틴트 28 colors (단품/기획),lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000184327,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
31,naver-50107317315,롬앤,[롬앤] 베어 워터 쿠션 20g (본품),base,shadeName | undertone | finish | coverage | skinTypeTags,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1062918579&vodFlag=N&prdseqnum=1062918579&utm_source=price&utm_medium=affiliate&utm_campaign=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,with.gsshop.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,blocked,robots_disallowed,True
